,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAPE,Test_MAPE
RandomForest,51.148036793362905,133.81592322530864,63.87669865418684,168.50042733706826,0.8888837993409494,0.2380053460401016,731.4153552276906,1906.574920911333
XGBoost,44.404230185701834,142.42967786875036,59.978763774254304,182.1525506437007,0.9020312697849566,0.10952767810325836,606.9543684416362,1962.3227825120039
GradientBoosting,126.56022804926998,131.57398424480013,155.35821159925126,165.56566499948272,0.342704157816078,0.26431742993674456,1793.3915114872605,1901.8545042736296
LinearRegression,148.49915787271127,145.01904952797767,178.74675101361152,177.14947792602416,0.1299007949973533,0.15777202099988097,2926.974309157792,2856.050124244702
